OBJECTID,FNODE_,TNODE_,LPOLY_,RPOLY_,LENGTH,CITYST_,CITYST_ID,FNODE_1,TNODE_1,LPOLY_1,RPOLY_1,CITYST2_,CITYST2_ID,LTYPE,GDT_ID2,GDT_,RECNUM,L_F_ADD,L_T_ADD,R_F_ADD,R_T_ADD,PREFIX,NAME,TYPE,SUFFIX,CFCC,TRACT90_L,TRACT90_R,BLOCK90_L,BLOCK90_R,L_F_IADD,L_T_IADD,R_F_IADD,R_T_IADD,FIPMCD90_L,FIPMCD90_R,FIPPLC90_L,FIPPLC90_R,FULLNAME,PAVE2,ST_FLAG,LINECODE,BLKSTREET,BG_L,BG_R,CTBNABG_L,CTBNABG_R,CITYST_I_1,BLK,Department,ProjectYear,ProjectType,Status,GlobalID,CreationDate,Creator,EditDate,Editor,StartDate,EndDate
2000,1316,1298,734,739,685.295,2000,3237,1317,1299,0,0,3237,15165,1,12578848,23330,12578848,2301,2499,2300,2498, ,ERIE,BLVD,E,A40,003601,003601,103,107,0,0,0,0,73000,73000,73000,73000,ERIE BLVD E,0,1,15, 2300 ERIE BLVD E,1,1,0036011,0036011,3237,2300,State,2021,NYSDOT: Erie Blvd E paving,Planned,00751b21-e4e9-46cf-89a2-7ec4cb8c7940,2020/03/05 04:00:16.555+00,samedelstein,2021/04/23 15:07:45.394+00,jbailey_syr,2021/05/10 04:00:00+00,
2013,1324,1264,687,685,337.613,2013,1940,1325,1265,0,0,1940,15079,1,12578060,18505,12578060,301,319,300,312, ,CATHERINE,ST, ,A40,0016,0016,302,204,0,0,0,0,73000,73000,73000,73000,CATHERINE ST,0,1,15,  300 CATHERINE ST,3,2,00163,00162,1940,300,StreetRepair,2021,Road Recon: Catherine from Hawley to James,Planned,fec1ac6a-1a87-4915-b4fd-9bd633c29132,2020/03/05 04:00:16.555+00,samedelstein,2021/04/02 01:32:51.822+00,jbailey_syr,,
2043,1341,1316,734,739,545.425,2043,3236,1342,1317,0,0,3236,15165,1,12578831,19347,12578831,2201,2299,2200,2298, ,ERIE,BLVD,E,A40,003601,003601,103,107,0,0,0,0,73000,73000,73000,73000,ERIE BLVD E,0,1,15, 2200 ERIE BLVD E,1,1,0036011,0036011,3236,2200,State,2021,NYSDOT: Erie Blvd E paving,Planned,70064311-1e4d-4c8f-bcef-47ede7ae2d6b,2020/03/05 04:00:16.555+00,samedelstein,2021/04/23 15:05:45.386+00,jbailey_syr,2021/05/10 04:00:00+00,
2090,1368,1357,665,775,305.42,2090,939,1369,1358,0,0,939,15262,1,12578270,18570,12578270,821,899,822,898, ,BURNET,AVE, ,A40,001701,001701,208,217,0,0,0,0,73000,73000,73000,73000,BURNET AV,0,1,15,  800 BURNET AV,2,2,0017012,0017012,939,800,StreetRepair,2021,Road Recon: Burnet from Lodi to Beech,Planned,37e752bd-3d7a-465a-a803-acd48e6ec3ea,2020/03/05 04:00:16.555+00,samedelstein,2021/04/02 14:15:29.190+00,jbailey_syr,,
2143,1402,1368,667,775,423.251,2143,940,1403,1369,0,0,940,15355,1,12578269,18572,12578269,801,819,800,820, ,BURNET,AVE, ,A40,001701,001701,207,217,0,0,0,0,73000,73000,73000,73000,BURNET AV,0,1,15,  800 BURNET AV,2,2,0017012,0017012,940,800,StreetRepair,2021,Road Recon: Burnet from Lodi to Beech,Planned,86bd4be3-3bf8-4324-b37f-5d127156df0a,2020/03/05 04:00:16.555+00,samedelstein,2021/04/02 14:15:08.443+00,jbailey_syr,,
2145,1399,1402,671,775,648.835,2145,1955,1400,1403,0,0,1955,15357,1,12578264,23246,12578264,701,799,700,798, ,BURNET,AVE, ,A40,0024,001701,104,217,0,0,0,0,73000,73000,73000,73000,BURNET AV,0,1,15,  700 BURNET AV,1,2,00241,0017012,1955,700,StreetRepair,2021,Road Recon: Burnet from Lodi to Beech,Planned,d2c6553f-d5b7-411a-bbad-6d515379f799,2020/03/05 04:00:16.555+00,samedelstein,2021/04/02 14:14:54.027+00,jbailey_syr,,
2164,1414,1341,755,769,1131.9,2164,3162,1415,1342,0,0,3162,15440,1,12578827,19357,12578827,2101,2199,2100,2198, ,ERIE,BLVD,E,A40,003601,003601,102,106,0,0,0,0,73000,73000,73000,73000,ERIE BLVD E,0,1,15, 2100 ERIE BLVD E,1,1,0036011,0036011,3162,2100,State,2021,NYSDOT: Erie Blvd E paving,Planned,bfd421d8-9b0c-4ae0-b32c-be1b8e9b7a91,2020/03/05 04:00:16.555+00,samedelstein,2021/04/23 15:05:28.475+00,jbailey_syr,2021/05/10 04:00:00+00,
2280,1481,1414,798,811,723.72,2280,3156,1482,1415,0,0,3156,15625,1,12578795,19371,12578795,2001,2099,2000,2098, ,ERIE,BLVD,E,A40,003601,003601,114,105,0,0,0,0,73000,73000,73000,73000,ERIE BLVD E,0,1,15, 2000 ERIE BLVD E,1,1,0036011,0036011,3156,2000,State,2021,NYSDOT: Erie Blvd E paving,Planned,8526f35f-52b8-42df-b826-40e087089f1e,2020/03/05 04:00:16.555+00,samedelstein,2021/04/23 15:05:11.592+00,jbailey_syr,2021/05/10 04:00:00+00,
2325,1509,1481,840,855,296.95,2325,3139,1510,1482,0,0,3139,15902,1,13001919,20161,12578783,1901,1999,1900,1998, ,ERIE,BLVD,E,A40,0035,0035,216,213,0,0,0,0,73000,73000,73000,73000,ERIE BLVD E,0,1,15, 1900 ERIE BLVD E,2,2,00352,00352,3139,1900,State,2021,NYSDOT: Erie Blvd E paving,Planned,b32c74f9-756d-4241-9128-1cf3dc6f9547,2020/03/05 04:00:16.555+00,samedelstein,2021/04/23 15:04:56.689+00,jbailey_syr,2021/05/10 04:00:00+00,
2331,1513,1448,833,834,352.182,2331,1416,1514,1449,0,0,1416,15706,1,12577858,22781,12577858,101,199,100,198, ,OSWEGO,BLVD, ,A41,0031,0032,227,216,0,0,0,0,73000,73000,73000,73000,OSWEGO BLVD,0,1,15,  100 OSWEGO BLVD,2,2,00312,00322,1416,100,StreetRepair,2021,Road Recon: Oswego from Erie to James,Planned,5da6fa1a-99c1-4a3e-963f-07e42c13ad54,2020/03/05 04:00:16.555+00,samedelstein,2021/04/02 14:04:25.181+00,jbailey_syr,,
2408,1513,1560,880,878,147.252,2408,1398,1514,1561,0,0,1398,15783,1,12577841,22527,12577841,101,101,100,100, ,MONTGOMERY,ST, ,A40,0032,0031,225,240,0,0,0,0,73000,73000,73000,73000,MONTGOMERY ST,0,1,15,  100 MONTGOMERY ST,2,2,00322,00312,1398,100,Water,2021,Montgomery from Erie to Madison,Planned,f8b944f9-db6d-4c14-b8ab-0ab4c0256e23,2020/03/05 04:00:16.555+00,samedelstein,2021/04/02 01:10:16.488+00,jbailey_syr,,
2433,1571,1573,889,926,591.793,2433,2006,1572,1574,0,0,2006,15837,1,12578014,19403,12578014,701,799,700,798,E,WATER,ST, ,A40,0033,0033,203,206,0,0,0,0,73000,73000,73000,73000,E WATER ST,0,1,15,  700 E WATER ST,2,2,00332,00332,2006,700,StreetRepair,2021,Road Recon: Water from Beech to Almond,Planned,3982eab3-e11a-443d-b8fe-251ac7a7365c,2020/03/05 04:00:16.555+00,samedelstein,2021/04/02 13:38:54.891+00,jbailey_syr,,
2434,1573,1574,895,928,169.645,2434,2005,1574,1575,0,0,2005,15840,4,13001895,20122,12578033,801,809,800,808,E,WATER,ST, ,A40,0033,0033,202,301,0,0,0,0,73000,73000,73000,73000,E WATER ST,0,1,15,  800 E WATER ST,2,3,00332,00333,2005,800,StreetRepair,2021,Road Recon: Water from Beech to Almond,Planned,c13ec0b8-d685-4c78-be79-1d272f453081,2020/03/05 04:00:16.555+00,samedelstein,2021/04/02 13:39:10.251+00,jbailey_syr,,
2436,1574,1575,908,928,214.631,2436,2004,1575,1576,0,0,2004,15842,1,12578033,20126,12578033,811,899,810,898,E,WATER,ST, ,A40,0033,0033,202,301,0,0,0,0,73000,73000,73000,73000,E WATER ST,0,1,15,  800 E WATER ST,2,3,00332,00333,2004,800,StreetRepair,2021,Road Recon: Water from Beech to Almond,Planned,9c81343e-04a4-486a-b873-641afcb80c59,2020/03/05 04:00:16.555+00,samedelstein,2021/04/02 13:39:23.109+00,jbailey_syr,,
2439,1576,1577,895,928,479.325,2439,2017,1577,1578,0,0,2017,15845,1,12578040,20127,12578040,901,999,900,998,E,WATER,ST, ,A40,0033,0033,202,301,0,0,0,0,73000,73000,73000,73000,E WATER ST,0,1,15,  900 E WATER ST,2,3,00332,00333,2017,900,StreetRepair,2021,Road Recon: Water from Beech to Almond,Planned,d2d9c102-30ff-4859-908c-f9a8ba0e80b7,2020/03/05 04:00:16.555+00,samedelstein,2021/04/02 13:39:36.615+00,jbailey_syr,,
2443,1577,1579,898,929,593.271,2443,2014,1578,1580,0,0,2014,15849,1,12578227,19406,12578227,1001,1099,1000,1098,E,WATER,ST, ,A40,0033,0033,201,209,0,0,0,0,73000,73000,73000,73000,E WATER ST,0,1,15, 1000 E WATER ST,2,2,00332,00332,2014,1000,StreetRepair,2021,Road Recon: Water from Beech to Almond,Planned,3a442f70-dcab-4d7a-8550-39999cf51c0d,2020/03/05 04:00:16.555+00,samedelstein,2021/04/02 13:39:47.279+00,jbailey_syr,,
2445,1579,1580,899,931,593.9,2445,1986,1580,1581,0,0,1986,15854,1,12578234,19408,12578234,1101,1199,1100,1198,E,WATER,ST, ,A40,0034,0034,216,201,0,0,0,0,73000,73000,73000,73000,E WATER ST,0,1,15, 1100 E WATER ST,2,2,00342,00342,1986,1100,StreetRepair,2021,Road Recon: Water from Beech to Almond,Planned,5f86b531-5b2a-445a-b315-6a3dcce9e7b2,2020/03/05 04:00:16.555+00,samedelstein,2021/04/02 13:40:00.443+00,jbailey_syr,,
2447,1580,1581,900,932,614.336,2447,1984,1581,1582,0,0,1984,15871,1,12578250,19413,12578250,1201,1299,1200,1298,E,WATER,ST, ,A40,0034,0034,215,204,0,0,0,0,73000,73000,73000,73000,E WATER ST,0,1,15, 1200 E WATER ST,2,2,00342,00342,1984,1200,StreetRepair,2021,Road Recon: Water from Beech to Almond,Planned,f0f5576d-33b8-4499-9459-30c6a2a8035a,2020/03/05 04:00:16.555+00,samedelstein,2021/04/02 13:40:16.115+00,jbailey_syr,,
2449,1581,1582,903,933,561.541,2449,3083,1582,1583,0,0,3083,15894,1,12578257,19415,12578257,1301,1389,1300,1388,E,WATER,ST, ,A40,0034,0034,214,205,0,0,0,0,73000,73000,73000,73000,E WATER ST,0,1,15, 1300 E WATER ST,2,2,00342,00342,3083,1300,StreetRepair,2021,Road Recon: Water from Beech to Almond,Planned,e92aa82d-1b8f-4608-a4f5-c4c5237237c4,2020/03/05 04:00:16.555+00,samedelstein,2021/04/02 13:40:27.613+00,jbailey_syr,,
2455,1556,1586,779,914,322.815,2455,3108,1557,1586,0,0,3108,15891,1,12578302,20074,12578302,1401,1499,1400,1498, ,ERIE,BLVD,E,A20,0035,0035,205,220,0,0,0,0,73000,73000,73000,73000,ERIE BLVD E,0,1,15, 1400 ERIE BLVD E,2,2,00352,00352,3108,1400,State,2021,NYSDOT: Erie Blvd E paving,Planned,843ac2c9-2a62-4553-ad93-97fb750e9188,2020/03/05 04:00:16.555+00,samedelstein,2021/04/23 15:02:43.019+00,jbailey_syr,2021/05/10 04:00:00+00,
2461,1590,1509,840,855,635.039,2461,3137,1591,1510,0,0,3137,15902,1,12578783,20160,12578783,1801,1899,1800,1898, ,ERIE,BLVD,E,A40,0035,0035,216,213,0,0,0,0,73000,73000,73000,73000,ERIE BLVD E,0,1,15, 1800 ERIE BLVD E,2,2,00352,00352,3137,1800,State,2021,NYSDOT: Erie Blvd E paving,Planned,7162d3c4-86d9-41f2-a9ac-3d7e0573fdd6,2020/03/05 04:00:16.555+00,samedelstein,2021/04/23 15:04:41.123+00,jbailey_syr,2021/05/10 04:00:00+00,
2485,1604,1590,840,940,204.916,2485,3151,1605,1591,0,0,3151,15946,1,12578781,19420,12578781,1731,1799,1730,1798, ,ERIE,BLVD,E,A40,0035,0035,216,204,0,0,0,0,73000,73000,73000,73000,ERIE BLVD E,0,1,15, 1700 ERIE BLVD E,2,2,00352,00352,3151,1700,State,2021,NYSDOT: Erie Blvd E paving,Planned,e33150dc-1e6c-4784-a40d-681eb6cebce6,2020/03/05 04:00:16.555+00,samedelstein,2021/04/23 15:04:20.718+00,jbailey_syr,2021/05/10 04:00:00+00,
2496,1610,1604,930,940,284.688,2496,3150,1611,1605,0,0,3150,15987,1,12578318,19426,12578318,1719,1729,1718,1728, ,ERIE,BLVD,E,A40,0035,0035,215,204,0,0,0,0,73000,73000,73000,73000,ERIE BLVD E,0,1,15, 1700 ERIE BLVD E,2,2,00352,00352,3150,1700,State,2021,NYSDOT: Erie Blvd E paving,Planned,5a17714f-8705-4b44-8fff-c91512212069,2020/03/05 04:00:16.555+00,samedelstein,2021/04/23 15:04:02.581+00,jbailey_syr,2021/05/10 04:00:00+00,
2519,1560,1624,916,915,340.257,2519,1401,1561,1625,0,0,1401,15999,1,12577837,22548,12577837,103,199,102,198, ,MONTGOMERY,ST, ,A40,0032,0031,226,201,0,0,0,0,73000,73000,73000,73000,MONTGOMERY ST,0,1,15,  100 MONTGOMERY ST,2,2,00322,00312,1401,100,Water,2021,Montgomery from Erie to Madison,Planned,bcb6ed2e-afb4-4c00-aa38-d445115dabd5,2020/03/05 04:00:16.555+00,samedelstein,2021/04/02 01:11:47.418+00,jbailey_syr,,
2559,1586,1644,779,934,861.624,2559,3127,1586,1645,0,0,3127,16072,1,12578303,19434,12578303,1501,1599,1500,1598, ,ERIE,BLVD,E,A20,0035,0035,205,219,0,0,0,0,73000,73000,73000,73000,ERIE BLVD E,0,1,15, 1500 ERIE BLVD E,2,2,00352,00352,3127,1500,State,2021,NYSDOT: Erie Blvd E paving,Planned,0bac89b9-df70-499a-abac-5352917d5864,2020/03/05 04:00:16.555+00,samedelstein,2021/04/23 15:03:08.906+00,jbailey_syr,2021/05/10 04:00:00+00,
2560,1645,1610,947,951,443.389,2560,3124,1646,1611,0,0,3124,16077,1,12578315,19449,12578315,1701,1717,1700,1716, ,ERIE,BLVD,E,A40,0035,0035,217,204,0,0,0,0,73000,73000,73000,73000,ERIE BLVD E,0,1,15, 1700 ERIE BLVD E,2,2,00352,00352,3124,1700,State,2021,NYSDOT: Erie Blvd E paving,Planned,ebae19c0-7137-4ce6-81b4-00065fe8b1e9,2020/03/05 04:00:16.555+00,samedelstein,2021/04/23 15:03:46.126+00,jbailey_syr,2021/05/10 04:00:00+00,
2571,1644,1645,955,978,516.079,2571,3123,1645,1646,0,0,3123,16083,1,12578311,19451,12578311,1601,1699,1600,1698, ,ERIE,BLVD,E,A40,0035,0035,218,219,0,0,0,0,73000,73000,73000,73000,ERIE BLVD E,0,1,15, 1600 ERIE BLVD E,2,2,00352,00352,3123,1600,State,2021,NYSDOT: Erie Blvd E paving,Planned,41e89cd7-9543-4763-8df7-e4c248281bc8,2020/03/05 04:00:16.555+00,samedelstein,2021/04/23 15:03:26.390+00,jbailey_syr,2021/05/10 04:00:00+00,
2617,1624,1681,966,962,323.699,2617,2059,1625,1682,0,0,2059,16179,1,12577696,22863,12577696,201,299,200,298, ,MONTGOMERY,ST, ,A40,0032,0031,205,204,0,0,0,0,73000,73000,73000,73000,MONTGOMERY ST,0,1,15,  200 MONTGOMERY ST,2,2,00322,00312,2059,200,Water,2021,Montgomery from Erie to Madison,Planned,ddb32146-7908-46e3-9565-d6370456c270,2020/03/05 04:00:16.555+00,samedelstein,2021/04/02 01:11:54.437+00,jbailey_syr,,
2782,1781,1718,1030,954,794.84,2782,2529,1782,1719,0,0,2529,16457,1,12573413,21960,12573413,1301,1499,1300,1498,W,FAYETTE,ST, ,A40,0029,0029,205,109,0,0,0,0,73000,73000,73000,73000,W FAYETTE ST,0,1,15, 1300 W FAYETTE ST,2,1,00292,00291,2529,1300,StreetRepair,2021,Road Recon: W Fayette from S Geddes to S Wilbur,Planned,2cde7245-1ea1-423b-89d7-f1fe1baeedd4,2020/03/05 04:00:16.555+00,samedelstein,2021/04/02 01:30:42.629+00,jbailey_syr,,
2815,1802,1801,1081,996,362.5,2815,2977,1803,1802,0,0,2977,16502,1,12573739,22587,12573739,101,199,100,198,W,JEFFERSON,ST, ,A40,0031,0031,246,242,0,0,0,0,73000,73000,73000,73000,W JEFFERSON ST,0,1,15,  100 W JEFFERSON ST,2,2,00312,00312,2977,100,Water,2021,Jefferson from S Clinton to Montgomery,Planned,c7f714d8-2c59-4f04-81c5-f387b8769f64,2020/03/05 04:00:16.555+00,samedelstein,2021/04/02 01:13:30.214+00,jbailey_syr,,
2818,1681,1804,1001,999,586.88,2818,2058,1682,1805,0,0,2058,16505,1,12577694,22592,12577694,301,399,300,398, ,MONTGOMERY,ST, ,A40,0032,0031,207,319,0,0,0,0,73000,73000,73000,73000,MONTGOMERY ST,0,1,15,  300 MONTGOMERY ST,2,3,00322,00313,2058,300,Water,2021,Montgomery from Erie to Madison,Planned,3bf8d608-0f57-420f-9108-7038853df4aa,2020/03/05 04:00:16.555+00,samedelstein,2021/04/02 01:11:57.822+00,jbailey_syr,,
2823,1807,1804,999,1083,393.751,2823,2052,1808,1805,0,0,2052,16509,1,12577679,22593,12577679,201,297,200,296,E,JEFFERSON,ST, ,A40,0031,0031,319,318,0,0,0,0,73000,73000,73000,73000,E JEFFERSON ST,0,1,15,  200 E JEFFERSON ST,3,3,00313,00313,2052,200,Water,2021,Jefferson from S Clinton to Montgomery,Planned,e42601d6-4d23-4cc4-a3ab-9c31d0dff537,2020/03/05 04:00:16.555+00,samedelstein,2021/04/02 01:14:03.541+00,jbailey_syr,,
2825,1808,1807,998,1082,184.439,2825,2053,1809,1808,0,0,2053,16511,1,12577677,22591,12577677,131,199,130,198,E,JEFFERSON,ST, ,A40,0031,0031,309,310,0,0,0,0,73000,73000,73000,73000,E JEFFERSON ST,0,1,15,  100 E JEFFERSON ST,3,3,00313,00313,2053,100,Water,2021,Jefferson from S Clinton to Montgomery,Planned,6c38f008-dbff-4f62-8dbc-48987ebba9e6,2020/03/05 04:00:16.555+00,samedelstein,2021/04/02 01:14:17.045+00,jbailey_syr,,
2827,1802,1808,997,1082,200.021,2827,2054,1803,1809,0,0,2054,16504,1,12577676,22589,12577676,101,129,100,128,E,JEFFERSON,ST, ,A40,0031,0031,308,310,0,0,0,0,73000,73000,73000,73000,E JEFFERSON ST,0,1,15,  100 E JEFFERSON ST,3,3,00313,00313,2054,100,Water,2021,Jefferson from S Clinton to Montgomery,Planned,ddaa91e3-dcb2-47a7-9814-e48990ae2e7e,2020/03/05 04:00:16.555+00,samedelstein,2021/04/02 01:13:42.288+00,jbailey_syr,,
2865,1805,1834,1084,1083,148.009,2865,2046,1807,1835,0,0,2046,16597,1,12577685,22598,12577685,401,401,400,400, ,MONTGOMERY,ST, ,A40,0032,0031,301,318,0,0,0,0,73000,73000,73000,73000,MONTGOMERY ST,0,1,15,  400 MONTGOMERY ST,3,3,00323,00313,2046,400,Water,2021,Montgomery from Erie to Madison,Planned,041eb0a2-2525-425a-b31d-8c35f1762fb9,2020/03/05 04:00:16.555+00,samedelstein,2021/04/02 01:12:07.729+00,jbailey_syr,,
2867,1836,1781,1067,810,555.891,2867,2530,1837,1782,0,0,2530,16610,1,12573446,21975,12573446,1201,1299,1200,1298,W,FAYETTE,ST, ,A40,0029,0029,204,106,0,0,0,0,73000,73000,73000,73000,W FAYETTE ST,0,1,15, 1200 W FAYETTE ST,2,1,00292,00291,2530,1200,StreetRepair,2021,Road Recon: W Fayette from S Geddes to S Wilbur,Planned,db663a01-159e-4503-9de0-28d8c1436034,2020/03/05 04:00:16.555+00,samedelstein,2021/04/02 01:30:59.152+00,jbailey_syr,,
2921,1874,1836,1097,810,1243.13,2921,2537,1875,1837,0,0,2537,16738,1,12573448,22464,12573448,1101,1199,1100,1198,W,FAYETTE,ST, ,A40,0029,0029,201,106,0,0,0,0,73000,73000,73000,73000,W FAYETTE ST,0,1,15, 1100 W FAYETTE ST,2,1,00292,00291,2537,1100,StreetRepair,2021,Road Recon: W Fayette from S Geddes to S Wilbur,Planned,bc9ef3ba-2991-4a38-9c4c-fd12e8a41658,2020/03/05 04:00:16.555+00,samedelstein,2021/04/02 01:31:12.024+00,jbailey_syr,,
2959,1834,1901,1084,1095,433.127,2959,2044,1835,1902,0,0,2044,16783,1,12577683,22601,12577683,403,499,402,498, ,MONTGOMERY,ST, ,A40,0032,0031,301,316,0,0,0,0,73000,73000,73000,73000,MONTGOMERY ST,0,1,15,  400 MONTGOMERY ST,3,3,00323,00313,2044,400,Water,2021,Montgomery from Erie to Madison,Planned,b9ecaf88-bc63-421c-ae8a-b817a3200e22,2020/03/05 04:00:16.555+00,samedelstein,2021/04/02 01:12:11.572+00,jbailey_syr,,
2984,1868,1902,1113,1099,723.569,2984,2544,1869,1903,0,0,2544,16832,1,12573399,22002,12573399,101,199,100,198, ,COLERIDGE,AVE, ,A40,0037,0029,901,206,0,0,0,0,73000,73000,73000,73000,COLERIDGE AV,0,1,15,  100 COLERIDGE AV,9,2,00379,00292,2544,100,StreetRepair,2021,Road Recon: Coleridge from Burnet Park to Wilbur,Planned,3c9de277-b411-4897-9de2-a8c113759750,2020/03/05 04:00:16.555+00,samedelstein,2021/04/13 16:30:27.845+00,jbailey_syr,,
3047,1801,1960,1081,992,976.711,3047,2989,1802,1961,0,0,2989,16990,1,12573736,22605,12573736,501,599,500,598,S,CLINTON,ST, ,A40,0031,0031,246,243,0,0,0,0,73000,73000,73000,73000,S CLINTON ST,0,1,15,  500 S CLINTON ST,2,2,00312,00312,2989,500,Other,2021,Transportation: S Clinton St from W Jefferson to Taylor,Planned,049cc856-3d07-4201-b392-8a9ad6ddeb2d,2020/03/05 04:00:16.555+00,samedelstein,2021/04/02 01:04:38.992+00,jbailey_syr,,
3105,1863,1995,1111,1098,741.942,3105,3064,1864,1996,0,0,3064,17121,1,12578186,19664,12578186,401,499,400,498, ,COLUMBUS,AVE, ,A40,0035,0035,304,305,0,0,0,0,73000,73000,73000,73000,COLUMBUS AV,0,1,15,  400 COLUMBUS AV,3,3,00353,00353,3064,400,StreetRepair,2021,Road Recon: Columbus from E Genesee to Dell,Planned,2ba0e53c-c01e-4052-854c-f3dde6c10d1e,2020/03/05 04:00:16.555+00,samedelstein,2021/04/02 13:09:30.919+00,jbailey_syr,,
